
AR                            0   136.500     3.330     0.000     0.000     0.000 !
N2                            1    97.530     3.621     0.000     1.760     4.000 !
HE                            0    10.200     2.576     0.000     0.000     0.000 !
H2                            1    38.000     2.920     0.000     0.790   280.000 !
H                             0   145.000     2.050     0.000     0.000     0.000 !
O2                            1   107.400     3.458     0.000     1.600     3.800 !
O                             0    80.000     2.750     0.000     0.000     0.000 !
H2O                           2   572.400     2.605     1.844     0.000     4.000 !
OH                            1    80.000     2.750     0.000     0.000     0.000 !
OHV                           1    80.000     2.750     0.000     0.000     0.000 !
H2O2                          2   107.400     3.458     0.000     0.000     3.800 !
HO2                           2   107.400     3.458     0.000     0.000     1.000 !
CO                            1    98.100     3.650     0.000     1.950     1.800 !
CO2                           1   244.000     3.763     0.000     2.650     2.100 !
HOCO                          2   498.000     3.590     0.000     0.000     2.000 !
CH4                           2   141.400     3.746     0.000     2.600    13.000 !
CH3                           1   144.000     3.800     0.000     0.000     0.000 !
CH2                           1   144.000     3.800     0.000     0.000     0.000 !
CH2(S)                        1   144.000     3.800     0.000     0.000     0.000 !
C2                            1   97.5300     3.621     0.000     1.760     4.000      !! 
C2O                           1   232.400     3.828     0.000     0.000     1.000      !* 
C                             0    71.400     3.298     0.000     0.000     0.000 !
CH                            1    80.000     2.750     0.000     0.000     0.000 !
CHV                           1    80.000     2.750     0.000     0.000     0.000 !
CH3OCH2OH                     2   405.540    5.690      0.000     0.000     1.000      !\AUTHOR: KPS !\REF: DAMES, CNF, 2016 !\COMMENT: 
CH3O2H                        2   481.800     3.626     0.000     0.000     1.000 !
CH3O2                         2   481.800     3.626     0.000     0.000     1.000 !
CH2O2H                        2   238.400     3.496     0.000     0.000     1.500 !
CH3OH                         2   481.800     3.626     0.000     0.000     1.000 !
CH3O                          2   417.000     3.690     1.700     0.000     2.000 !
CH2OH                         2   417.000     3.690     1.700     0.000     2.000 !
CH2O                          2   498.000     3.590     0.000     0.000     2.000 !
HCO                           2   498.000     3.590     0.000     0.000     0.000 !
HCOH                          2   498.000     3.590     0.000     0.000     1.000 !
HO2CHO                        2   436.000     3.970     0.000     0.000     2.000 !
HOCH2O2H                      2   481.800     3.626     1.700     0.000     1.000 !
HOCH2O2                       2   481.800     3.626     1.700     0.000     1.000 !
OCH2O2H                       2   481.800     3.626     1.700     0.000     1.000 !
HOCH2O                        2   470.600     4.410     0.000     0.000     1.500 !
O2CHO                         2   436.000     3.970     0.000     0.000     2.000 !
HOCHO                         2   436.000     3.970     0.000     0.000     2.000 !
OCHO                          2   498.000     3.590     0.000     0.000     2.000 !
C2H6                          2   247.500     4.350     0.000     0.000     1.500 !
C2H5                          2   247.500     4.350     0.000     0.000     1.500 !
C2H5O2H                       2   470.600     4.410     0.000     0.000     1.500 !
C2H5O2                        2   470.600     4.410     0.000     0.000     1.500 !
C2H4                          2   238.400     3.496     0.000     0.000     1.500 !
C2H3                          2   265.300     3.721     0.000     0.000     1.000 !
CHOCHO                        1   440.200     4.010     0.000     0.000     2.000 !
C2H3OOH                       2   436.000     3.970     0.000     0.000     2.000 !
C2H3OO                        2   436.000     3.970     0.000     0.000     2.000 !CH3CO2
CHCHO                         2   436.000     3.970     0.000     0.000     2.000 !HCCOH
C2H2                          1   265.300     3.721     0.000     0.000     2.500 !
C2H                           1   265.300     3.721     0.000     0.000     2.500 !
H2CC                          2   209.000     4.100     0.000     0.000     2.500 !
C2H5OH                        2   470.600     4.410     0.000     0.000     1.500 !
C2H5O                         2   470.600     4.410     0.000     0.000     1.500 !
PC2H4OH                       2   470.600     4.410     0.000     0.000     1.500 !
SC2H4OH                       2   470.600     4.410     0.000     0.000     1.500 !
O2C2H4OH                      2   523.200     5.664     1.700     0.000     1.000 !
C2H4O2H                       2   470.600     4.410     0.000     0.000     1.500 !
C2H4O1-2                      2   436.000     3.970     0.000     0.000     2.000 !
C2H3O1-2                      2   436.000     3.970     0.000     0.000     2.000 !
CH3CHO                        2   436.000     3.970     0.000     0.000     2.000 !
CH3CO                         2   436.000     3.970     0.000     0.000     2.000 !
CH2CHO                        2   436.000     3.970     0.000     0.000     2.000 !
O2CH2CHO                      2   275.049     5.428     0.000     0.000     1.000 !
HO2CH2CO                      2   279.007     5.505     1.300     0.000     1.000 !
C2H3OH                        2   470.600     4.410     0.000     0.000     1.500 !
C2H2OH                        2   224.700     4.162     0.000     0.000     1.000 !
CH2CO                         2   436.000     3.970     0.000     0.000     2.000 !
HCCO                          2   150.000     2.500     0.000     0.000     1.000 !
HCCOH                         2   436.000     3.970     0.000     0.000     2.000 !
CH3CO3H                       2   436.000     3.970     0.000     0.000     2.000 !
CH3CO3                        2   436.000     3.970     0.000     0.000     2.000 !
CH3CO2                        2   436.000     3.970     0.000     0.000     2.000 !
CH3OCH3                       2   395.000     4.037     1.300     0.000     1.000 !
CH3OCH2                       2   395.000     4.037     1.300     0.000     1.000 !
CH3OCH2O2H                    2   395.000     4.037     1.300     0.000     1.000 !
CH3OCH2O2                     2   395.000     4.037     1.300     0.000     1.000 !
CH2OCH2O2H                    2   395.000     4.037     1.300     0.000     1.000 !
O2CH2OCH2O2H                  2   395.000     4.037     1.300     0.000     1.000 !
HO2CH2OCHO                    2   395.000     4.037     1.300     0.000     1.000 !
OCH2OCHO                      2   395.000     4.037     1.300     0.000     1.000 !
