TRANS ALL
POSF10325          2   177.645     9.605     0.000     0.000     1.000          
C2H4               2   280.800     3.971     0.000     0.000     1.500          
CH4                2   141.400     3.746     0.000     2.600    13.000          
C3H6               2   266.800     4.982     0.000     0.000     1.000          
iC4H8              2   357.000     5.176     0.000     0.000     1.000          
C4H81              2   357.000     5.176     0.000     0.000     1.000          
H2                 1    38.000     2.920     0.000     0.790   280.000          
C2H6               2   252.300     4.302     0.000     0.000     1.500          
CO                 1    98.100     3.650     0.000     1.950     1.800          
C6H6               2   464.8       5.29      0.00     10.32      0.000          
C2H2               1   209.000     4.100     0.000     0.000     2.500          
C6H5CH3            2   495.3       5.68      0.43     12.30      1.000          
CH3                1   144.000     3.800     0.000     0.000     0.000          
O2                 1   107.400     3.458     0.000     1.600     3.800          
H                  0   145.000     2.050     0.000     0.000     0.000          
OH                 1    80.000     2.750     0.000     0.000     0.000          
HO2                2   107.400     3.458     0.000     0.000     1.000          
O                  0    80.000     2.750     0.000     0.000     0.000          
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800          
CH2                1   144.000     3.800     0.000     0.000     0.000          
CH2*               1   144.000     3.800     0.000     0.000     0.000          
HCO                2   498.000     3.590     0.000     0.000     0.000          
CH2O               2   498.000     3.590     0.000     0.000     2.000          
CH3O               2   417.000     3.690     1.700     0.000     2.000          
CO2                1   244.000     3.763     0.000     2.650     2.100          
C2H3               2   209.000     4.100     0.000     0.000     1.000          
C2H5               2   252.300     4.302     0.000     0.000     1.500          
HCCO               2   150.000     2.500     0.000     0.000     1.000          
CH2CO              2   436.000     3.970     0.000     0.000     2.000          
CH2CHO             2   436.000     3.970     0.000     0.000     2.000          
aC3H5              2   266.800     4.982     0.000     0.000     1.000          
nC3H7              2   266.800     4.982     0.000     0.000     1.000          
c-C4H5             2   329         5.1       0.0       0.0       1.0          
C5H4O              2   464.8       5.29      0.00     10.32      0.000          
C5H5               1   357.000     5.180     0.000     0.000     1.000          
C6H5               2   464.8       5.29      0.00     10.32      0.000          
C6H5CH2            2   495.3       5.68      0.43     12.30      1.000          
C6H5O              2   464.8       5.29      0.00     10.32      0.000          
C6H5CO             2   593         5.5       2.8       0.0       1.0          
C6H5CHO            2   593         5.47      2.8       0.0       1.0          
A2C11H21           2   177.645     9.605     0.000     0.000     1.000          
A2C11H21O2         2   177.645     9.605     0.000     0.000     1.000          
A2C11H20OOH        2   177.645     9.605     0.000     0.000     1.000          
A2C11H20           2   177.645     9.605     0.000     0.000     1.000          
A2C11H21O4         2   177.645     9.605     0.000     0.000     1.000          
A2C11H20O3         2   177.645     9.605     0.000     0.000     1.000          
N2                 1    97.530     3.621     0.000     1.760     4.000          
END
